FileName,Type,Group,Instance,TGIType,TGISubtype,Message
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF180E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF190E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF5C,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF5D,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF5E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF5F,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF4C,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF50,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF51,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF52,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF250E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF202E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF210E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF220E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF240E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF230E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF110E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF800E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF900E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF120E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEEFF700E,EXMP,EXEMPLAR,missing property: ExemplarType
